,Song,Tags
85,For Sentimental Reasons,thebestofthemercuryyear eddyhoward britishdanceband
86,Golden Earrings,"thebestofmisspeggyle peggyle adultstandards,torchsong,vocaljazz"
87,Ole Buttermilk Sky,"thebestofkaykyserandhisorchestra kaykyser&hisorchestra ""mansorchestra"""
88,Twelfth Street Rag,dixiehitscon... peeweehunt jazztrombon
89,Manana,"thebestofmisspeggyle peggyle adultstandards,torchsong,vocaljazz"
90,Now Is The Hour  - Single Version,"bing-hislegendaryyears1931-1957 bingcrosbi adultstandards,lounge,easylisten"
91,A Tree In The Meadow - Remastered 1990,lovesongsbi margaretwhit torchsong
92,My Happiness,"forbetter,orwors johnprine,fionaprin newamericana,rootsrock,folk,singer-songwrit"
93,"You Cant Be True, Dear","ithadtobey kengriffin bigband,""mansorchestra"""
94,Little White Lies,"rainorshin dickhaym swing,deepadultstandards,britishdanceband"
95,You Call Everybody Darling - 1948 Single Version,"theirgreatesthitsandfinestperform theandrewssist vocalharmonygroup,swing,adultstandards,torchsong"
96,My Happiness,whatisthisthingcalledlove? thepiedpip vocalharmonygroup
97,Im Looking Over A Four Leaf Clover,"desafinado colemanhawkin jazz,jazzsaxophone,bebop"
98,Its Magic  - Version 1 - Take 6,"goldengirl(thecolumbiarecordings1944-1966) dorisday,georgesiravaandhisorchestra adultstandards,lounge,easylistening,vocaljazz"
99,Maybe Your Baby,"talkingbook steviewond motown,soul"
100,Dance Ballerina Dance,"presentingvaughnmonro vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
101,Nature Boy,"thenatkingcolestori natkingcol adultstandards,swing,vocaljazz,lounge,soul"
102,Woody Woodpecker Song,"bestofthebigband kaykyser&hisorchestra ""mansorchestra"""
103,Love Somebody,"goldengirl(thecolumbiarecordings1944-1966) dorisday,buddyclark,georgesiravoandhisorchesta adultstandards,lounge,easylistening,vocaljazz"
104,Now Is the Hour,"ultimatecollect graciefield musichall,britishdanceband"
105,Beg Your Pardon,"netflix&d 03greedo,kennybeats,maxokream indiehiphop,melodicrap,undergroundhiphop,calirap,trap,vaportrap,houstonrap"
106,"You Cant Be True, Dear","ithadtobey kengriffin bigband,""mansorchestra"""
107,Toolie Oolie Doolie,"theirgreatesthitsandfinestperform theandrewssist vocalharmonygroup,swing,adultstandards,torchsong"
108,Buttons And Bows,"16mostrequestedsongsofthe1940s,volumeon dinahshor adultstandards,torchsong,easylistening,vocaljazz"
109,Golden Earrings,"thebestofmisspeggyle peggyle adultstandards,torchsong,vocaljazz"
110,Every Time I Close My Eyes,"theday babyface,kennyg r&b,contemporaryr&b,urbancontemporary,smoothjazz,newjackswing,smoothsaxophon"
111,Too Fat To Fly,"toofattofli rogeralanwad outlawcountry,chattanoogaindi"
112,Because,"puregold perrycomo adultstandards,easylisten"
113,My Happiness,"ella:thelegendarydeccarecord ellafitzgerald jazz,jazzblues,adultstandards,swing,vocaljazz,soul"
114,Serenade of Water,untourablealbum menitrust indiepop
