,Song,Tags
2731,"The Breakup Song   In the Style of ""Greg Kihn Band""  {Karaoke Demonstration Version With Lead Vocal}",thekaraokechannel-rockvol.32 thekaraokechannel karaok
2732,Time,"theturnofafriendlycard(expandededition) thealanparsonsproject artrock,progressiverock,albumrock,softrock,mellowgold,symphonicrock,classicrock"
2733,Hungry Heart,"theriv brucespringsteen heartlandrock,rock,permanentwave,singer-songwriter,mellowgold"
2734,Sweetheart,franke&theknockouts(originalrecordingremastered) franke&theknockout yachtrock
2735,Somebodys Knockin,thebestofterrigibb terrigibb classiccountrypop
2736,More Than I Can Say - Remastered,"livinginafantasi leosay softrock,mellowgold"
2737,Together,"tierragreatesthit tierra souldies,classicsoul"
2738,Too Much Time On My Hands,"paradisetheatr styx glammetal,hardrock,rock,progressiverock,albumrock,softrock,mellowgold,classicrock"
2739,What are We Doin in Love   Originally Performed by Dottie West & Kenny Rogers  {Karaoke Version},"thekaraokechannel-countryhitsof1981,vol.6 thekaraokechannel karaok"
2740,Whos Crying Now,"escape(bonustrackversion) journey heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2741,"De Do Do Do, De Da Da Da","zenyattamondatta(remastered2003) thepolic permanentwave,rock,albumrock,classicrock"
2742,This Little Girl,"thebestofgaryusbond garyu.s.bond doo-wop,rhythmandblu"
2743,Stop Draggin My Heart Around  - 2016 Remaster,"belladonna(2016remastered) stevienicks,tompettyandtheheartbreak heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2744,Giving It Up For Your Love,"ultimatecollect delbertmcclinton electricblues,countryrock,modernblues,harmonicablues,classictexascountry,southernrock"
2745,A Little in Love - 1987 Remaster,"lovesong cliffrichard rock-and-roll,adultstandard"
2746,America,"thejazzsinger(originalsongsfromthemotionpicture) neildiamond heartlandrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,brillbuildingpop,adultstandard"
2747,Aint Even Done with the Night   Karaoke Version,"thekaraokechannel-toprockhitsof1981,vol.2 thekaraokechannel karaok"
2748,Arthurs Theme,"arthur-thealbumoriginalsoundtrack christophercross softrock,yachtrock,mellowgold"
2749,Another One Bites The Dust - Remastered 2011,"thegame(deluxeremasteredversion) queen glamrock,rock,classicrock"
2750,Games People Play,"theturnofafriendlycard(expandededition) thealanparsonsproject artrock,progressiverock,albumrock,softrock,mellowgold,symphonicrock,classicrock"
2751,I Cant Stand It,"anotherticket ericclapton bluesrock,electricblues,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2752,While You See A Chance,"arcofadiver(deluxeedition) stevewinwood heartlandrock,folkrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2753,Master Blaster,"bestroadtrip80spophit steviewond motown,soul"
2754,Hello Again,"thejazzsinger(originalsongsfromthemotionpicture) neildiamond heartlandrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,brillbuildingpop,adultstandard"
2755,Dont Stand so Close to Me   Karaoke Version,"thekaraokechannel-toprockhitsof1981,vol.3 thekaraokechannel karaok"
2756,Hey Nineteen,"gaucho steelydan countryrock,rock,folkrock,yachtrock,albumrock,softrock,mellowgold,classicrock"
2757,I Aint Gonna Stand For It,"hotterthanjuli steviewond motown,soul"
2758,All Those Years Ago - 2004 Remaster,"somewhereinengland georgeharrison rock,folkrock,beatlesque,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2759,Step By Step,"stepbystep eddierabbitt country,countryrock,classiccountrypop,softrock,mellowgold"
2760,The Stroke - Remastered 2010,"dontsayno(remastered2010) billysqui heartlandrock,glammetal,hardrock,rock,albumrock,softrock,southernrock,classicrock"
2761,Feels So Right,"livinlovinrockinrollin:the25thanniversarycollect alabama countryrock,country,contemporarycountry,countryroad"
2762,Sweet Baby,"theclarke/dukeproject stanleyclarke,georgeduk jazz,electricbass,jazzpiano,jazzfusion,smoothjazz,jazzfunk"
2763,Same Old Lang Syne,"lovesong danfogelberg countryrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,classicrock"
2764,Cool Love,"reflector pablocruis softrock,yachtrock"
2765,Hold On Tight,"time electriclightorchestra artrock,glamrock,rock,beatlesque,albumrock,softrock,mellowgold,symphonicrock,classicrock"
2766,Its Now Or Never,nowornev johnschneid classiccountrypop
2767,Treat Me Right,"crimesofpass patbenatar heartlandrock,newwavepop,glammetal,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,newromantic,classicrock"
2768,Winning,"zebop! santana classicrock,mexicanclassicrock,bluesrock"
2769,What Kind of Fool,"acollectiongreatesthits...andmor barbrastreisand,barrygibb operaticpop,softrock,adultstandard"
2770,Watching The Wheels - Remastered 2010,"doublefantasy:strippeddown johnlennon beatlesque,rock,classicrock"
2771,Tell It Like It Is,"greatesthits/l heart heartlandrock,newwavepop,glammetal,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2772,Smoky Mountain Rain,"thebestofronniemilsap ronniemilsap country,classiccountrypop,countryrock,nashvillesound"
2773,I Made It Through the Rain,"barri barrymanilow mellowgold,softrock,yachtrock,adultstandard"
2774,Youve Lost That Lovin Feeling,"voic darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2775,Suddenly - Xanadu/Soundtrack Version,"20thcenturymasters:themillenniumcollection:bestofolivianewton-john olivianewton-john,cliffrichard rock-and-roll,australiandance,softrock,mellowgold,adultstandards,disco"
2776,For Your Eyes Only,"youcouldhavebeenwithmebonustracksvers sheenaeaston newwavepop,synthpop,softrock,mellowgold,minneapolissound,newromant"
2777,The Beach Boys Medley,"christmasinthesun thefunsurf bigband,""mansorchestra"""
2778,Whip It,"freedomofchoic devo newwavepop,punk,synthpop,synthpunk,alternativerock,zolo,artpunk,newwave,post-punk,dancerock,newromant"
2779,Modern Girl,"takemytim sheenaeaston newwavepop,synthpop,softrock,mellowgold,minneapolissound,newromant"
2780,Really Want to Know You - Remastered Version,"therightplac garywright countryrock,yachtrock,albumrock,softrock,mellowgold,southernrock,classicrock"
2781,Seven Year Ache,"theverybestofrosannecash rosannecash countryrock,folk,classiccountrypop,lilith,singer-songwrit"
2782,Im Coming Out,"diana dianaross soul,motown,quietstorm,softrock,adultstandards,disco"
2783,Miss Sun,"hits! bozscagg yachtrock,softrock,mellowgold,singer-songwriter,classicrock"
2784,Time Is Time,"theverybestof andygibb mellowgold,softrock,disco"
2785,Physical - Remastered 2021,"physical(deluxeedition) olivianewton-john australiandance,softrock,mellowgold,adultstandards,disco"
2786,Eye of the Tiger,"rockyiv survivor hardrock,albumrock,softrock,glammet"
2787,I Love Rock N Roll,"iloverocknroll(expandededition) joanjett&theblackheart glampunk,rock"
2788,Ebony And Ivory - 2022 Remaster,"the7”singl paulmccartney,steviewond soul,motown,rock,beatlesque,classicrock"
2789,Centerfold,"freezefram thej.geilsband countryrock,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2790,Dont You Want Me?   Karaoke Version,thekaraokechannel-singtophitsof1982 thekaraokechannel karaok
2791,Jack & Diane,"americanfool johnmellencamp heartlandrock,countryrock,hardrock,rock,folkrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2792,Hurts So Good,"americanfool johnmellencamp heartlandrock,countryrock,hardrock,rock,folkrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2793,Abracadabra,"abracadabra stevemillerband heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2794,Hard to Say Im Sorry - 2009 Remaster,"chicago16(expandededition) chicago rock,yachtrock,albumrock,softrock,mellowgold,classicrock"
2795,Tainted Love,"non-stoperoticcabaret softcel newwave,newwavepop,newromantic,synthpop"
2796,Chariots Of Fire,"20#1s:onehitwond vang cyberpunk,synthes"
2797,Harden My Heart,"quarterflash quarterflash newwavepop,albumrock,softrock"
2798,Rosanna,"totoiv toto rock,hardrock,yachtrock,albumrock,softrock,mellowgold,classicrock"
2799,I Cant Go for That,"privateeyes(expandededition) darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2800,867-5309 / Jenny,"tommytutone-2 tommytuton bigband,""mansorchestra"""
2801,Key Largo,"theessentialplaylist bertiehiggin bigband,""mansorchestra"""
2802,You Should Hear How She Talks About You,"heyricki melissamanchest softrock,yachtrock"
2803,Waiting for a Girl like You,"4(expanded) foreign heartlandrock,glammetal,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2804,Dont Talk to Strangers,"successhasntspoiledmeyet rickspringfield heartlandrock,newwavepop,glammetal,hardrock,yachtrock,australianrock,albumrock,softrock,mellowgold,newromantic,classicrock"
2805,The Sweetest Thing,"juic juicenewton countrydawn,classiccountrypop,softrock"
2806,Always On My Mind,"alwaysonmymind willienelson outlawcountry,country,countryrock,classictexascountry,classiccountrypop,nashvillesound,singer-songwrit"
2807,Shake It Up - 2017 Remaster,"shakeitup(expandededition) thecar newwavepop,synthpop,powerpop,hardrock,rock,newwave,albumrock,softrock,mellowgold,singer-songwriter,permanentwave,newromantic,classicrock"
2808,Let It Whip,"keepitlive(expandededition) dazzband pfunk,soul,funk,post-disco,motown,classicsoul,quietstorm,disco"
2809,We Got The Beat,"beautyandthebeat ""thego-gos"" heartlandrock,newromantic,newwavepop,synthpop,girlgroup,janglepop,newwave,albumrock,softrock,mellowgold,singer-songwriter,permanentwave,candypop,classicrock"
2810,The Other Woman,"theotherwoman(expandededition) rayparkerjr. bigband,""mansorchestra"""
2811,Turn Your Love Around,"thegeorgebensoncollect georgebenson jazzguitar,yachtrock,smoothjazz,jazzfunk,souljazz"
2812,Sweet Dreams,theessentialairsuppli airsuppli softrock
2813,Only The Lonely - Remastered 1999,"80srockpowerballad themotel newwavepop,synthpop,australianrock,newwave,newromant"
2814,Who Can It Be Now?,"businessasusu menatwork heartlandrock,newwavepop,hardrock,rock,australianrock,newwave,albumrock,softrock,mellowgold,newromantic,classicrock"
2815,Hold Me,"greatesthit fleetwoodmac rock,yachtrock,albumrock,softrock,classicrock"
2816,Eye In The Sky,"eyeinthesky(expandededition) thealanparsonsproject artrock,progressiverock,albumrock,softrock,mellowgold,symphonicrock,classicrock"
2817,Lets Groove,"raise! earth,wind&fir jazzfunk,funk,soul,disco"
2818,Open Arms,"escape(bonustrackversion) journey heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2819,Leader of the Band,"lovesong danfogelberg countryrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,classicrock"
2820,Leather and Lace,timespace-thebestofstevienick stevienick heartlandrock
2821,Even the Nights Are Better,nowandforev airsuppli softrock
2822,I’ve Never Been To Me - Rerecorded,"i’veneverbeentome(billboardhot100-no03) charlen bigband,""mansorchestra"""
2823,65 Love Affair,"radiohitsofthe80 pauldavi softrock,yachtrock"
2824,Heat Of The Moment,"asia asia glammetal,hardrock,progressiverock,albumrock,softrock,mellowgold,classicrock"
2825,Take It Easy On Me - Remastered 2022,"timeexposure(remastered2022) littleriverband countryrock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2826,Pac-Man Fever,pac-manfev buckner&garcia novelti
2827,That Girl,"originalmusiquarium steviewond motown,soul"
2828,Private Eyes,"privateeyes(expandededition) darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2829,Trouble,lawandord lindseybuckingham heartlandrock
2830,Making Love,"imtheon robertaflack soul,vocaljazz,quietstorm,softrock,adultstandards,disco"
2831,Loves Been A Little Bit Hard On Me,"quietli juicenewton countrydawn,classiccountrypop,softrock"
2832,Young Turks - 2008 Remaster,"thedefinitiverodstewart rodstewart softrock,mellowgold"
2833,Freeze-Frame,"freezefram thej.geilsband countryrock,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2834,Keep the Fire Burnin,"goodtroubl reospeedwagon heartlandrock,glammetal,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2835,Do You Believe In Love,"picturethi hueylewis&thenew newwavepop,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,newromantic,classicrock"
2836,Cool Night,"coolnight pauldavi softrock,yachtrock"
2837,Caught Up In You,"specialforc 38special glammetal,countryrock,hardrock,rock,albumrock,softrock,mellowgold,southernrock,classicrock"
2838,Why Do Fools Fall In Love,"whydofoolsfallinlove(expandededition) dianaross soul,motown,quietstorm,softrock,adultstandards,disco"
2839,Love in the First Degree,"theessentialalabama3.0 alabama countryrock,country,contemporarycountry,countryroad"
2840,Hooked On Classics,"hookedonclass royalphilharmonicorchestraconductedbylouisclark bigband,""mansorchestra"""
2841,Wasted on the Way - 2005 Remaster,"daylightagain(deluxeedition) crosby,stills&nash heartlandrock,countryrock,rock,folkrock,folk,albumrock,softrock,mellowgold,classicrock"
2842,Think Im In Love,"nocontrol eddiemoney glammetal,countryrock,hardrock,albumrock,softrock,mellowgold,southernrock,classicrock"
2843,Love Is in Control,"donnasumm donnasumm newwavepop,hi-nrg,softrock,adultstandards,disco"
2844,Personally,"thebestofkarlabonoff:allmylif karlabonoff bigband,""mansorchestra"""
2845,One Hundred Ways,"thedud quincyjones,jamesingram souljazz,quietstorm"
2846,Blue Eyes - Remastered 2003,"jumpup! eltonjohn glamrock,rock,pianorock,mellowgold"
2847,Our Lips Are Sealed - Single Version,"beautyandthebeat ""thego-gos"" heartlandrock,newromantic,newwavepop,synthpop,girlgroup,janglepop,newwave,albumrock,softrock,mellowgold,singer-songwriter,permanentwave,candypop,classicrock"
2848,For Your Eyes Only,"youcouldhavebeenwithmebonustracksvers sheenaeaston newwavepop,synthpop,softrock,mellowgold,minneapolissound,newromant"
2849,You Can Do Magic,"viewfromtheground america heartlandrock,folkrock,albumrock,softrock,mellowgold,classicrock"
2850,Did It In A Minute,"privateeyes(expandededition) darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2851,I Ran  - Single Edit,"aflockofseagulls(deluxe) aflockofseagul newwavepop,synthpop,newwave,albumrock,newromant"
2852,Somebodys Baby,"thenextvoiceyouhear-thebestofjacksonbrown jacksonbrown heartlandrock,countryrock,folkrock,folk,pianorock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2853,Oh No,"inthepocket commodor soul,funk,motown,quietstorm,softrock,mellowgold,adultstandards,disco"
2854,Take It Away - Remixed 2015,"tugofwar paulmccartney beatlesque,rock,classicrock"
2855,Its Gonna Take a Miracle,"thebestofdeniecewilliams:gonnatakeamiracl deniecewilliam soul,funk,post-disco,motown,urbancontemporary,contemporaryr&b,quietstorm,disco"
2856,Love Will Turn You Around,"lovewillturnyouaround kennyrog country,classiccountrypop,nashvillesound"
2857,Dont Stop Believin,"escape(bonustrackversion) journey heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2858,Comin In and out of Your Life,"memori barbrastreisand operaticpop,adultstandard"
2859,Gloria,"thebestofbranigan laurabranigan newwavepop,newromantic,softrock,synthpop"
2860,Empty Garden  - Remastered 2003,"jumpup! eltonjohn glamrock,rock,pianorock,mellowgold"
2861,Yesterdays Songs,"onthewaytotheski neildiamond heartlandrock,folkrock,yachtrock,softrock,mellowgold,singer-songwriter,brillbuildingpop,adultstandard"
2862,Crimson and Clover,"iloverocknroll(expandededition) joanjett&theblackheart glampunk,rock"
2863,Every Little Thing She Does Is Magic,"ghostinthemachine(remastered2003) thepolic permanentwave,rock,albumrock,classicrock"
2864,Here I Am,theonethatyoulov airsuppli softrock
2865,I Keep Forgettin,"ifthatswhatittak michaelmcdonald softrock,yachtrock,mellowgold"
2866,Get Down On It - Single Version,"collect kool&thegang motown,funk,soul,disco"
2867,Any Day Now,"insid ronniemilsap country,classiccountrypop,countryrock,nashvillesound"
2868,Make A Move On Me - Remastered 2021,"physical(deluxeedition) olivianewton-john australiandance,softrock,mellowgold,adultstandards,disco"
2869,Take My Heart,"somethingspeci kool&thegang motown,funk,soul,disco"
2870,"Mirror, Mirror","whydofoolsfallinlove(expandededition) dianaross soul,motown,quietstorm,softrock,adultstandards,disco"
2871,Vacation,"vacat ""thego-gos"" heartlandrock,newromantic,newwavepop,synthpop,girlgroup,janglepop,newwave,albumrock,softrock,mellowgold,singer-songwriter,permanentwave,candypop,classicrock"
2872,Pretty Woman - 2015 Remaster,"diverdown(remastered) vanhalen rock,hardrock,albumrock,classicrock"
2873,Should I Do It,"black&white(expandededition) thepointersist newwavepop,girlgroup,motown,hi-nrg,softrock,disco"
2874,Hot In The City,"billyidol billyidol newwavepop,synthpop,hardrock,rock,newwave,albumrock,softrock,dancerock,newromantic,classicrock"
2875,Kids In America,"kimwild kimwild newwave,newwavepop,newromant"
2876,Man On Your Mind - Remastered 2022,"timeexposure(remastered2022) littleriverband countryrock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2877,Whats Forever For?,"thebestofmichaelmartinmurphey michaelmartinmurphey newmexicomusic,classiccountrypop,cowboywestern,outlawcountri"
2878,Waiting On A Friend - Remastered 2009,"tattooyou(2009re-mastered) therollingston rock,classicrock,albumrock,britishinvas"
2879,Dont You Worry Bout A Thing,"innervis steviewond motown,soul"
2880,Working for the Weekend,"getlucki loverboy heartlandrock,glammetal,hardrock,albumrock,softrock,mellowgold,classiccanadianrock,classicrock"
2881,going down!,"? xxxtentacion miamihiphop,emorap"
2882,Arthurs Theme,"arthur-thealbumoriginalsoundtrack christophercross softrock,yachtrock,mellowgold"
2883,Through The Years,"shareyourlov kennyrog country,classiccountrypop,nashvillesound"
2884,Edge of Seventeen - 2016 Remaster,belladonna(2016remastered) stevienick heartlandrock
2885,Every Breath You Take,"synchronicity(remastered2003) thepolic permanentwave,rock,albumrock,classicrock"
2886,Billie Jean,"thriller25superdeluxeedit michaeljackson soul,r&b"
2887,Flashdance...What a Feeling - Radio Edit,"whatafeelin irenecara newwavepop,synthpop,softrock,newromantic,disco"
2888,Down Under,"businessasusu menatwork heartlandrock,newwavepop,hardrock,rock,australianrock,newwave,albumrock,softrock,mellowgold,newromantic,classicrock"
2889,Beat It,"thriller25superdeluxeedit michaeljackson soul,r&b"
2890,Total Eclipse of the Heart,"theverybestofbonnietyl bonnietyl europop,newwavepop,softrock"
2891,Maneater,"h2o darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2892,Baby Come to Me   Karaoke Version,"karaokehitsfrom1983,vol.2 ameritzcountdownkaraok karaok"
2893,Maniac,flashdance(originalsoundtrackfromthemotionpicture) michaelsembello hi-nrg
2894,Sweet Dreams  - Remastered,"sweetdreams(aremadeofthis) eurythmics,annielennox,davestewart newwavepop,sophisti-pop,synthpop,rock,newwave,rockkeyboard,albumrock,softrock,singer-songwriter,dancerock,newromant"
2895,Do You Really Want To Hurt Me,"kissingtobeclev cultureclub newwavepop,synthpop,newwave,albumrock,softrock,newromant"
2896,You And I,"radiorom eddierabbitt,crystalgayl country,countryrock,classiccountrypop,softrock,mellowgold"
2897,Come On Eileen,"tooryeay dexysmidnightrunn newwave,newwavepop,newromantic,synthpop"
2898,Shame On The Moon,"thedist bobseg heartlandrock,detroitrock,countryrock,hardrock,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2899,She Works Hard For The Money,"sheworkshardforthemoney donnasumm newwavepop,hi-nrg,softrock,adultstandards,disco"
2900,Never Gonna Let You Go,"sergiomend sérgiomend brazilianjazz,samba,bossanova"
2901,Hungry Like the Wolf - 2009 Remaster,"rio(collectorsedition) duranduran newwavepop,synthpop,rock,newwave,albumrock,softrock,dancerock,newromantic,classicrock"
2902,Lets Dance - 2018 Remaster,"letsdance(2018remaster) davidbowi artrock,glamrock,rock,permanentwave,classicrock"
2903,Twilight Zone,"thelongversions-parton goldenear nederpop,dutchrock,dutchprog,albumrock"
2904,I Know Theres Something Going On,"somethingsgoingon frida bigband,""mansorchestra"""
2905,Jeopardy,kihnspiraci thegregkihnband albumrock
2906,Electric Avenue,"1983karaokeclassicsvolume1 ""1980skaraokeband"" karaok"
2907,She Blinded Me With Science,"thegoldenageofwireless thomasdolbi newwavepop,synthpop,steampunk,zolo,newwave,newromant"
2908,Africa,"totoiv toto rock,hardrock,yachtrock,albumrock,softrock,mellowgold,classicrock"
2909,"Little Red Corvette - 7"" Edit - 2019 Remaster","1999(superdeluxeedition) princ funk,funkrock,rock,synthfunk,minneapolissound"
2910,Back On the Chain Gang - Originally Performed By the Pretenders,"40superhitskaraoke:superhitsv12 bthestar bigband,""mansorchestra"""
2911,"Up Where We Belong - From ""An Officer And A Gentleman""","theantholog joecocker,jenniferwarn heartlandrock,bluesrock,rock,folkrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2912,Mr. Roboto,"kilroywasher styx glammetal,hardrock,rock,progressiverock,albumrock,softrock,mellowgold,classicrock"
2913,You Are,lionelrichi lionelrichi softrock
2914,Der Kommissar,radiohitsofthe80 afterthefir newwav
2915,Puttin on the Ritz,"aftereight taco bigband,""mansorchestra"""
2916,Sexual Healing,"midnightlov marvingay soul,motown,classicsoul,quietstorm,northernsoul,neosoul"
2917,Fascination - Remastered,"theverybestofthehumanleagu thehumanleagu newwavepop,sophisti-pop,synthpop,newwave,permanentwave,newromant"
2918,Time,"thebestofcultureclub cultureclub newwavepop,synthpop,newwave,albumrock,softrock,newromant"
2919,The Safety Dance,"rockofthe80 menwithouthat newwavepop,synthpop,newwave,classiccanadianrock,newromant"
2920,Hey Mickey,"heymickey tonibasil bigband,""mansorchestra"""
2921,You Cant Hurry Love - 2016 Remaster,"hello,imustbegoing!(deluxeedition) philcollin softrock,rockdrum"
2922,Separate Ways,"frontier journey heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2923,One On One,"h2o darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2924,Weve Got Tonight,"wevegottonight kennyrogers,sheenaeaston newwavepop,synthpop,country,classiccountrypop,nashvillesound,softrock,mellowgold,minneapolissound,newromant"
2925,1999 - 2019 Remaster,"1999 princ funk,funkrock,rock,synthfunk,minneapolissound"
2926,Stray Cat Strut,"builtforspe straycat rockabilly,instrumentalsurf"
2927,Allentown,"thenyloncurtain billyjoel heartlandrock,rock,pianorock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2928,Stand Back,timespace-thebestofstevienick stevienick heartlandrock
2929,Tell Her About It,"aninnocentman billyjoel heartlandrock,rock,pianorock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2930,Always Something There to Remind Me - 2018 Remaster,"nakedey nakedey newwave,newwavepop,newromantic,synthpop"
2931,Truly,lionelrichi lionelrichi softrock
2932,Dirty Laundry,"icantstandstil donhenley heartlandrock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2933,The Girl Is Mine,"history-past,presentandfuture-booki michaeljackson,paulmccartney soul,r&b,rock,beatlesque,classicrock"
2934,Too Shy,"whitefeath kajagoogoo newwave,newwavepop,newromantic,synthpop"
2935,Goody Two Shoes,"friendorfo adam newwave,permanentwave,newwavepop,newromant"
2936,Rock the Casbah - Remastered,"combatrock(remastered) theclash alternativerock,rock,punk,permanentwav"
2937,Our House,"mad mad newwave,skarevival,ska,britpop"
2938,Overkill,"cargo menatwork heartlandrock,newwavepop,hardrock,rock,australianrock,newwave,albumrock,softrock,mellowgold,newromantic,classicrock"
2939,Is There Something I Should Know?,"duranduran duranduran newwavepop,synthpop,rock,newwave,albumrock,softrock,dancerock,newromantic,classicrock"
2940,Gloria,"thebestofbranigan laurabranigan newwavepop,newromantic,softrock,synthpop"
2941,Affair of the Heart,"wearethe80 rickspringfield heartlandrock,newwavepop,glammetal,hardrock,yachtrock,australianrock,albumrock,softrock,mellowgold,newromantic,classicrock"
2942,Shes A Beauty - Remastered 1991,"outsideinsid thetub newwave,zolo,heartlandrock,albumrock"
2943,Solitaire,"laurabraniganlive! laurabranigan newwavepop,newromantic,softrock,synthpop"
2944,Dont Let It End - Live In New Orleans/1983,"caughtintheact-l styx glammetal,hardrock,rock,progressiverock,albumrock,softrock,mellowgold,classicrock"
2945,How Am I Supposed to Live Without You?,"laurabraniganlive! laurabranigan newwavepop,newromantic,softrock,synthpop"
2946,China Girl - 2018 Remaster,"letsdance(2018remaster) davidbowi artrock,glamrock,rock,permanentwave,classicrock"
2947,Come Dancing,"stateofconfus thekink protopunk,artrock,glamrock,psychedelicrock,rock,folkrock,britishinvasion,albumrock,singer-songwriter,classicrock"
2948,"Promises, Promises - US Single Version","nakedey nakedey newwave,newwavepop,newromantic,synthpop"
2949,The Other Guy - Remastered 2022,"ultimatehits(remastered2022) littleriverband countryrock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2950,Making Love Out of Nothing at All,alloutoflov airsuppli softrock
2951,Family Man,"h2o darylhall&johno heartlandrock,rock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2952,Wanna Be Startin Somethin,"thriller25superdeluxeedit michaeljackson soul,r&b"
2953,I Wont Hold You Back,"totoiv toto rock,hardrock,yachtrock,albumrock,softrock,mellowgold,classicrock"
2954,All Right,"anotherpag christophercross softrock,yachtrock,mellowgold"
2955,Straight From The Heart,"cutslikeaknif bryanadam heartlandrock,canadianpop,canadiansinger-songwriter,softrock,mellowgold,classiccanadianrock"
2956,Heart to Heart,"highadventur kennyloggin newwavepop,heartlandrock,yachtrock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2957,My Love,lionelrichi lionelrichi softrock
2958,Im Still Standing   In the Style of Elton John,thebestof1983 goldsoundkaraok karaok
2959,Hot Girls In Love,"keepitup loverboy heartlandrock,glammetal,hardrock,albumrock,softrock,mellowgold,classiccanadianrock,classicrock"
2960,Its A Mistake,"cargo menatwork heartlandrock,newwavepop,hardrock,rock,australianrock,newwave,albumrock,softrock,mellowgold,newromantic,classicrock"
2961,Ill Tumble 4 Ya,"kissingtobeclev cultureclub newwavepop,synthpop,newwave,albumrock,softrock,newromant"
2962,All This Love,"allthislov debarg funk,r&b,urbancontemporary,contemporaryr&b,quietstorm"
2963,Your Love Is Driving Me Crazy,"threelockbox sammyhagar heartlandrock,glammetal,hardrock,rock,albumrock,classicrock"
2964,Heartbreaker,"heartbreak dionnewarwick soul,vocaljazz,quietstorm,softrock,adultstandards,brillbuildingpop,disco"
2965,Faithfully,"frontier journey heartlandrock,hardrock,rock,albumrock,softrock,mellowgold,classicrock"
2966,Steppin Out,"nightandday joejackson newwavepop,sophisti-pop,powerpop,newwave,mellowgold,singer-songwriter,permanentwave,newromant"
2967,Take Me To Heart,"takeanotherpictur quarterflash newwavepop,albumrock,softrock"
2968,Sexy + 17 - Single Edit/24 Bit Remastered 99/Digital Remaster/1999,"thebriansetzercollection1981-1988(remastered) straycat rockabilly,instrumentalsurf"
2969,Try Again,modernheart champaign yachtrock
2970,Dead Giveaway,"thelook shalamar soul,funk,post-disco,newjackswing,motown,urbancontemporary,quietstorm,disco"
2971,Lawyers in Love,"lawyersinlov jacksonbrown heartlandrock,countryrock,folkrock,folk,pianorock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2972,What About Me?,daysofinnoc movingpictur australianrock
2973,Human Nature,"thriller michaeljackson soul,r&b"
2974,Photograph,"pyromania defleppard nwobhm,glammetal,hardrock,rock,albumrock,classicrock"
2975,Pass The Dutchie,antholog musicalyouth ukregga
2976,True - Single Edit,"true-thedigitale.p. spandauballet newwavepop,sophisti-pop,synthpop,newwave,softrock,newromant"
2977,Far From Over,frankstallon frankstallon yachtrock
2978,Ive Got a Rock n Roll Heart,"moneyandcigarettes(2007remaster) ericclapton bluesrock,electricblues,rock,albumrock,softrock,mellowgold,singer-songwriter,classicrock"
2979,It Might Be You,"bestofbish stephenbishop softrock,yachtrock"
