,Song,Spotify Link,Song Image
61,Too Fat To Fly,https://open.spotify.com/track/54JQWhbv1i6OcIci1sABh6,https://i.scdn.co/image/ab67616d00001e0292a0bd0a8d499f158c0a33a6
62,"I Wonder, I Wonder, I Wonder",https://open.spotify.com/track/7vTpQ52Y6Pgu5E7YAhe7Wj,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
63,My Adobe Hacienda,https://open.spotify.com/track/5R4okhfleSI3jbqOJfarc1,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
64,Huggin' and Chalkin',https://open.spotify.com/track/4kEgUCxcdp8f6kSGLbi7oZ,https://i.scdn.co/image/ab67616d00001e02759416e81ef7fd35d18fb14b
65,(I Love You) For Sentimental Reasons,https://open.spotify.com/track/5pwrRrUj38H0Ouj68n34JS,https://i.scdn.co/image/ab67616d00001e02fdd261528e3590ac36bb85f0
66,Ole Buttermilk Sky,https://open.spotify.com/track/4o4LCrYR4wqzkpZbR7xpLy,https://i.scdn.co/image/ab67616d00001e023657ac1fdccf3353248f2216
67,If I Loved You,https://open.spotify.com/track/1938FeAi8kI7w9TpbgQWgP,https://i.scdn.co/image/ab67616d00001e028e71eb4be67203cf16342418
68,You Do,https://open.spotify.com/track/7BPhiu9JdAYXVZ442UUk1M,https://i.scdn.co/image/ab67616d00001e02e8f1be013a333a3545850997
69,Seems Like Old Times,https://open.spotify.com/track/4gLp1QM0LomU29ygOpKy3b,https://i.scdn.co/image/ab67616d00001e023ac55e43d3840cc10857ea37
70,Laughing on the Outside (Crying on the Inside),https://open.spotify.com/track/2RG22MnkRzrPNAyc0eFn8w,https://i.scdn.co/image/ab67616d00001e02642daf2a1868773492e7c67f
71,White Christmas,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,https://i.scdn.co/image/ab67616d00001e02481bb0db1e8bd0c7104368a4
72,Across The Alley From The Alamo,https://open.spotify.com/track/0IQESxrjHhP5GtTyW1SJOY,https://i.scdn.co/image/ab67616d00001e02e21cd5d12683344fd6c48c17
73,"Civilization (Bongo, Bongo, Bongo) - Single Version",https://open.spotify.com/track/7u9eQXm4pzbvNLRyDegMOl,https://i.scdn.co/image/ab67616d00001e025663b0bd97aa3b87cd1f669d
74,The Old Lamp-Lighter,https://open.spotify.com/track/0sJqdV5n24uO4AdeQsY7k7,https://i.scdn.co/image/ab67616d00001e02fa9fab792e87b717952b001a
75,Open The Door,https://open.spotify.com/track/6Mdu5Su2VYBAsDDVPUAMXE,https://i.scdn.co/image/ab67616d00001e02a63c57fc57e3f2151cf9099d
